EGHH|BOURNEMOUTH/HURN|50.783|-1.833|10
EGHI|SOUTHAMPTON WX CNTR|50.9|-1.4|9
EGKA|SHOREHAM AIRPORT|50.833|-0.283|2
EGKA|SHOREHAM-BY-SEA|50.817|-0.25|5
EGMD|LYDD|50.95|0.933|4
EGJA|ALDERNEY/CHANNEL IS|49.717|-2.2|88
EGJB|GUERNSEY AIRPORT|49.433|-2.6|101
EGJJ|JERSEY AIRPORT|49.217|-2.2|84
EGAE|LONDONDERRY EGLINTO|55.033|-7.15|7
EGXF|COWDEN|53.85|-6.1|15
EGAA|BELFAST/ALDERGROVE|54.65|-6.217|68
EGAC|BELFAST HARBOUR|54.6|-5.883|5
EICK|CORK AIRPORT|51.85|-8.483|162
EINN|SHANNON AIRPORT|52.7|-8.917|20
EIME|CASEMENT AERODROME|53.3|-6.433|93
EIDB|DUBLIN WEATHER CENT|53.433|-6.25|68
EIDW|DUBLIN AIRPORT|53.433|-6.25|85
EIKN|CONNAUGHT AIRPORT|53.9|-8.817|209
BIST|STYKKISHOLMUR|65.083|-22.733|8
BIIS|ISAFJORDUR|66.05|-23.133|2
BIKF|KEFLAVIK NAS|63.967|-22.6|54
KQNT|AFWA ASSIGNED|-99.999|-999.999|-9999.9
BIRK|REYKJAVIK|64.132|-21.933|61
BIVM|VESTMANNAEYJAR|63.4|-20.283|124
BIAR|AKUREYRI|65.683|-18.083|27
BIGR|GRIMSEY|66.533|-18.017|16
BIBD|BILDUDALUR|65.633|-22.55|5
BIRG|RAUFARHOFN|66.45|-15.95|8
BIHN|AKURNES|64.3|-15.217|21
BIVO|SKJALDTHINGSSTADIR|65.7|-14.817|48
BIEG|EGILSSTADIR|65.283|-14.4|23
BGTL|PITUFFIK (THULE AB)|76.533|-68.75|59
BGAA|AASIAAT MITTARFIA|68.717|-52.8|27
BGJN|JAKOBSHAVN LUFTHAVN|69.233|-51.067|31
BGUQ|UUMMANAQ/QAARSUT|70.733|-52.7|20
BGSS|SISIMIUT|66.95|-53.733|50
BGUK|UPERNAVIK|72.783|-56.167|122
BGMQ|MANIITSOQ|65.417|-52.933|15
BGUP|UPERNAVIK AWS|72.767|-56.167|63
BGEM|AASIAAT /EGEDESMIND|68.7|-52.85|41
BGQQ|QAANAAQ|77.467|-69.217|19
BGHB|SISIMIUT (HOLSTEINS|66.917|-53.667|9
BGSF|KANGERLUSSUAQ /SDR.|67.017|-50.7|53
BGGH|NUUK (GODTHAAB)|64.167|-51.75|84
BGFH|PAAMIUT /FREDERIKSH|62.017|-49.667|15
BGPT|FREDICKSHAB/PAAMIUT|61.983|-49.7|13
BGGD|GROENNEDAL|61.233|-48.1|32
BGBW|MITTARFIC NARSARSUAQ|61.167|-45.417|31
BGJH|QAQORTOQ /JULIANEHA|60.717|-46.05|34
BGNS|NARSSAQ|60.9|-45.967|30
BGAS|ANGISOQ|59.983|-45.2|16
BGDH|DANMARKSHAVN|76.767|-18.667|12
BGDB|DANEBORG|74.3|-20.217|44
BGDU|DUNDAS|76.5|-69|20
BGSC|ITTOQQORTOORMIIT /S|70.483|-21.95|69
BGKT|CAPE TOBIN (AUT)|70.417|-21.967|41
BGCO|NERLERIT INAAT /CON|70.75|-22.65|10
